693.794,0.833182,-0.440533,9.720459,698.594,0.001065,0.001065,0.001065
701.433,0.852336,-0.430956,9.662998,708.668,0.002131,-0.003196,-0.002131
717.400,0.411803,-0.584185,9.720459,718.233,0.002131,-0.004261,-0.018109
725.180,0.746991,-0.478840,9.701305,728.604,0.001065,-0.002131,-0.017044
732.795,0.861913,-0.459687,9.672575,738.699,-0.000000,-0.001065,-0.009587
748.588,0.852336,-0.459687,9.691729,748.500,-0.001065,0.000000,-0.002131
756.397,0.823605,-0.478840,9.701305,758.759,-0.000000,0.001065,0.002131
763.982,0.823605,-0.459687,9.653421,768.698,-0.000000,0.000000,0.004261
771.655,0.823605,-0.450110,9.691729,778.729,0.001065,-0.002131,0.003196
787.382,0.823605,-0.459687,9.720459,788.335,-0.000000,-0.002131,0.002131
795.366,0.852336,-0.469264,9.720459,798.833,0.001065,-0.003196,0.001065
802.977,0.852336,-0.440533,9.701305,808.835,0.002131,-0.002131,0.001065
818.759,0.852336,-0.459687,9.672575,818.733,0.002131,-0.002131,0.002131
826.353,0.852336,-0.478840,9.739613,828.883,0.001065,-0.002131,0.002131
834.365,0.852336,-0.450110,9.701305,838.948,0.001065,-0.003196,0.002131
841.789,0.842759,-0.450110,9.662998,849.074,0.002131,-0.003196,0.002131
857.571,0.842759,-0.440533,9.720459,858.537,-0.000000,-0.003196,0.002131
865.551,0.833182,-0.440533,9.672575,868.972,-0.000000,-0.003196,0.002131
873.165,0.861913,-0.459687,9.701305,879.092,-0.001065,-0.003196,0.002131
888.968,0.833182,-0.459687,9.720459,888.871,-0.001065,-0.003196,0.001065
896.541,0.842759,-0.469264,9.730036,899.132,-0.001065,-0.002131,0.002131
904.355,0.842759,-0.450110,9.682152,909.068,-0.000000,-0.001065,0.001065
911.768,0.842759,-0.430956,9.691729,919.301,0.001065,-0.001065,0.001065
927.725,0.861913,-0.459687,9.672575,928.889,0.002131,-0.002131,0.001065
935.739,0.852336,-0.450110,9.691729,939.178,0.001065,-0.002131,0.001065
943.323,0.861913,-0.440533,9.720459,949.198,-0.000000,-0.002131,0.001065
959.098,0.852336,-0.459687,9.682152,959.073,0.001065,-0.001065,0.001065
966.929,0.852336,-0.440533,9.701305,969.242,0.001065,-0.001065,0.002131
974.705,0.871489,-0.450110,9.710882,979.337,-0.000000,-0.002131,0.003196
982.008,0.852336,-0.450110,9.691729,989.418,-0.000000,-0.001065,0.003196
997.914,0.842759,-0.450110,9.691729,999.196,-0.001065,0.001065,0.002131
1005.725,0.823605,-0.469264,9.701305,1009.349,-0.002131,0.001065,0.002131
1013.508,0.842759,-0.440533,9.710882,1019.468,-0.002131,-0.001065,0.002131
1029.310,0.833182,-0.459687,9.672575,1029.214,-0.003196,-0.001065,0.002131
1036.915,0.852336,-0.450110,9.691729,1039.506,-0.001065,-0.001065,0.002131
1044.699,0.823605,-0.459687,9.691729,1049.442,-0.000000,-0.001065,0.001065
1052.141,0.861913,-0.469264,9.701305,1059.706,-0.000000,-0.001065,0.002131
